name, codename, country, iata, icao, type
Kerrville Municipal Louis Schreiner Field,Kerrville,United States,ERV,KERV,airport
Sussex County Airport,Georgetown,United States,GED,KGED,airport
Great Bend Municipal Airport,Great Bend,United States,GBD,KGBD,airport
Hays Regional Airport,Hays,United States,HYS,KHYS,airport
Spirit of St Louis Airport,Null,United States,SUS,KSUS,airport
Ely Municipal Airport,Ely,United States,LYU,KELO,airport
Grand Rapids Itasca Co-Gordon Newstrom field,Grand Rapids MN,United States,GPZ,KGPZ,airport
Thief River Falls Regional Airport,Thief River Falls,United States,TVF,KTVF,airport
Eagle River Union Airport,Eagle River,United States,EGV,KEGV,airport
Lakeland-Noble F. Lee Memorial field,Minocqua - Woodruff,United States,ARV,KARV,airport
Catalina Airport,Catalina Island,United States,AVX,KAVX,airport
Mojave Airport,Mojave,United States,MHV,KMHV,airport
Hutchinson Municipal Airport,Hutchinson,United States,HUT,KHUT,airport
Rosecrans Memorial Airport,Rosecrans,United States,STJ,KSTJ,airport
Volk Field,Camp Douglas,United States,VOK,KVOK,airport
Gunnison Crested Butte Regional Airport,Gunnison,United States,GUC,KGUC,airport
Zamperini Field,Torrance,United States,TOA,KTOA,airport
Manistee Co Blacker Airport,Manistee,United States,MBL,KMBL,airport
Charlotte County Airport,Punta Gorda,United States,PGD,KPGD,airport
Northern Aroostook Regional Airport,Frenchville,United States,WFK,KFVE,airport
Chautauqua County-Jamestown Airport,Jamestown,United States,JHW,KJHW,airport
Lake Cumberland Regional Airport,Somerset,United States,SME,KSME,airport
Shenandoah Valley Regional Airport,Weyers Cave,United States,SHD,KSHD,airport
Devils Lake Regional Airport,Devils Lake,United States,DVL,KDVL,airport
Dickinson Theodore Roosevelt Regional Airport,Dickinson,United States,DIK,KDIK,airport
Sidney - Richland Regional Airport,Sidney,United States,SDY,KSDY,airport
Chadron Municipal Airport,Chadron,United States,CDR,KCDR,airport
Alliance Municipal Airport,Alliance,United States,AIA,KAIA,airport
Mc Cook Ben Nelson Regional Airport,McCook,United States,MCK,KMCK,airport
The Florida Keys Marathon Airport,Marathon,United States,MTH,KMTH,airport
Dawson Community Airport,Glendive,United States,GDV,KGDV,airport
L M Clayton Airport,Wolf Point,United States,OLF,KOLF,airport
Yellowstone Airport,West Yellowstone,United States,WYS,KWYS,airport
San Luis Valley Regional Bergman Field,Alamosa,United States,ALS,KALS,airport
Canyonlands Field,Moab,United States,CNY,KCNY,airport
Ely Airport Yelland Field,Ely,United States,ELY,KELY,airport
Vernal Regional Airport,Vernal,United States,VEL,KVEL,airport
Sierra Blanca Regional Airport,Ruidoso,United States,RUI,KSRR,airport
Show Low Regional Airport,Show Low,United States,SOW,KSOW,airport
McCall Municipal Airport,McCall,United States,MYL,KMYL,airport
Lemhi County Airport,Salmon,United States,SMN,KSMN,airport
Mammoth Yosemite Airport,Mammoth Lakes,United States,MMH,KMMH,airport
Friday Harbor Airport,Friday Harbor,United States,FRD,KFHR,airport
Orcas Island Airport,Eastsound,United States,ESD,KORS,airport
Astoria Regional Airport,Astoria,United States,AST,KAST,airport
Newport Municipal Airport,Newport,United States,ONP,KONP,airport
Emmonak Airport,Emmonak,United States,EMK,PAEM,airport
Unalakleet Airport,Unalakleet,United States,UNK,PAUN,airport
Ugnu-Kuparuk Airport,Kuparuk,United States,UUK,PAKU,airport
Shageluk Airport,Shageluk,United States,SHX,PAHX,airport
Chuathbaluk Airport,Chuathbaluk,United States,CHU,PACH,airport
Nuiqsut Airport,Nuiqsut,United States,NUI,PAQT,airport
Eek Airport,Eek,United States,EEK,PAEE,airport
Kasigluk Airport,Kasigluk,United States,KUK,PFKA,airport
Kwethluk Airport,Kwethluk,United States,KWT,PFKW,airport
Kwigillingok Airport,Kwigillingok,United States,KWK,PAGG,airport
Marshall Don Hunter Sr Airport,Marshall,United States,MLL,PADM,airport
Russian Mission Airport,Russian Mission,United States,RSH,PARS,airport
Koliganek Airport,Koliganek,United States,KGK,PAJZ,airport
Manokotak Airport,Manokotak,United States,KMO,PAMB,airport
Chalkyitsik Airport,Chalkyitsik,United States,CIK,PACI,airport
Eagle Airport,Eagle,United States,EAA,PAEG,airport
Hughes Airport,Hughes,United States,HUS,PAHU,airport
Huslia Airport,Huslia,United States,HSL,PAHL,airport
Nulato Airport,Nulato,United States,NUL,PANU,airport
Venetie Airport,Venetie,United States,VEE,PAVE,airport
Beaver Airport,Beaver,United States,WBQ,PAWB,airport
Central Airport,Central,United States,CEM,PACE,airport
